Ind,Garden,First_Assign,Sample_Pop,First_per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0204,/TMA,Kessler,Magazine,99.616,Magazine,0.382,Pryor,0.002,Sugarloaf,0,Porter,0
QAc-G-0205,/TMA,Kessler,Magazine,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0206,/TMA,Kessler,Magazine,99.797,Pryor,0.203,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0207,/TMA,Kessler,Pryor,94.431,Magazine,3.162,Sugarloaf,1.713,Pryor,0.694,Porter,0
QAc-G-0208,/TMA,Kessler,Pryor,99.999,Magazine,0.001,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0209,/TMA,Kessler,Pryor,100,Pryor,0,Magazine,0,Sugarloaf,0,Porter,0
QAc-G-0210,/TMA,Kessler,Pryor,100,Pryor,0,Sugarloaf,0,Magazine,0,Porter,0
QAc-G-0211,/TMA,Pryor,Pryor,59.207,Kessler,33.458,Magazine,6.985,Sugarloaf,0.35,Porter,0
QAc-G-0212,/TMA,Kessler,Pryor,100,Pryor,0,Magazine,0,Sugarloaf,0,Porter,0
QAc-G-0213,/TMA,Pryor,Pryor,59.404,Kessler,40.526,Magazine,0.058,Porter,0.012,Sugarloaf,0
QAc-G-0214,/TMA,Kessler,Pryor,99.951,Sugarloaf,0.041,Magazine,0.007,Pryor,0,Porter,0
QAc-G-0215,/TMA,Kessler,Pryor,99.999,Magazine,0.001,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0216,/TMA,Pryor,Pryor,73.355,Kessler,26.634,Sugarloaf,0.011,Porter,0,Magazine,0
QAc-G-0217,/TMA,Kessler,Pryor,99.077,Pryor,0.916,Magazine,0.006,Porter,0,Sugarloaf,0
QAc-G-0218,/TMA,Kessler,Pryor,100,Sugarloaf,0,Pryor,0,Magazine,0,Porter,0
QAc-G-0219,/TMA,Kessler,Pryor,100,Pryor,0,Sugarloaf,0,Magazine,0,Porter,0
QAc-G-0220,/TMA,Kessler,Pryor,100,Magazine,0,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0221,/TMA,Kessler,Pryor,99.999,Magazine,0.001,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0222,/TMA,Kessler,Pryor,100,Pryor,0,Sugarloaf,0,Magazine,0,Porter,0
QAc-G-0223,/TMA,Kessler,Pryor,99.994,Pryor,0.005,Magazine,0.001,Sugarloaf,0,Porter,0
QAc-G-0224,/TMA,Kessler,Pryor,99.957,Pryor,0.041,Magazine,0.001,Sugarloaf,0.001,Porter,0
QAc-G-0226,/TMA,Porter,Porter,95.441,Kessler,3.87,Magazine,0.498,Pryor,0.191,Sugarloaf,0
QAc-G-0227,/TMA,Kessler,Porter,99.788,Magazine,0.197,Porter,0.01,Sugarloaf,0.006,Pryor,0
QAc-G-0228,/TMA,Kessler,Porter,99.413,Porter,0.586,Sugarloaf,0.001,Pryor,0,Magazine,0
QAc-G-0229,/TMA,Kessler,Porter,99.92,Pryor,0.076,Magazine,0.004,Porter,0.001,Sugarloaf,0
QAc-G-0230,/TMA,Kessler,Porter,100,Pryor,0,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0231,/TMA,Kessler,Porter,99.98,Porter,0.02,Pryor,0,Sugarloaf,0,Magazine,0
QAc-G-0232,/TMA,Kessler,Porter,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0233,/TMA,Kessler,Porter,99.947,Porter,0.052,Sugarloaf,0,Pryor,0,Magazine,0
QAc-G-0234,/TMA,Kessler,Porter,99.985,Pryor,0.014,Sugarloaf,0.001,Magazine,0,Porter,0
QAc-G-0235,/TMA,Kessler,Porter,99.991,Magazine,0.009,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0236,/TMA,Kessler,Porter,100,Sugarloaf,0,Porter,0,Magazine,0,Pryor,0
QAc-G-0237,/TMA,Kessler,Porter,100,Magazine,0,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0238,/TMA,Kessler,Porter,100,Magazine,0,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0239,/TMA,Magazine,Porter,87.629,Porter,11.846,Kessler,0.525,Sugarloaf,0,Pryor,0
QAc-G-0240,/TMA,Kessler,Porter,96.421,Magazine,3.523,Pryor,0.044,Porter,0.012,Sugarloaf,0
QAc-G-0241,/TMA,Kessler,Porter,99.348,Pryor,0.651,Porter,0.001,Magazine,0,Sugarloaf,0
QAc-G-0242,/TMA,Kessler,Porter,99.988,Porter,0.011,Magazine,0.001,Pryor,0,Sugarloaf,0
QAc-G-0243,/TMA,Magazine,Porter,99.203,Kessler,0.506,Pryor,0.238,Porter,0.052,Sugarloaf,0.001
QAc-G-0244,/TMA,Magazine,Porter,54.681,Kessler,42.56,Porter,2.759,Pryor,0,Sugarloaf,0
QAc-G-0245,/TMA,Kessler,Porter,99.99,Porter,0.009,Magazine,0.001,Pryor,0,Sugarloaf,0
QAc-G-0246,/TMA,Kessler,Porter,99.995,Magazine,0.005,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0247,/TMA,Kessler,Porter,99.931,Magazine,0.069,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0248,/Trompenburg,Kessler,Porter,100,Magazine,0,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0249,/USNA,Kessler,NONE,92.412,Magazine,5.655,Pryor,1.922,Sugarloaf,0.01,Porter,0
QAc-G-0025,/USNA,Kessler,Magazine,99.994,Pryor,0.006,Porter,0,Sugarloaf,0,Magazine,0
QAc-G-0028,/UWBG,Kessler,Magazine,99.938,Pryor,0.062,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0275,/Plze?,Kessler,NONE,99.99,Magazine,0.009,Sugarloaf,0.001,Porter,0,Pryor,0
